title,year,genre,cast_hint,director,plot_hint,tagline_text
Blazing Saddles,1974,"Western, Comedy","Cleavon Little, Gene Wilder, Slim Pickens",,"A town—where everyone seems to be named Johnson—stands in the way of the railroad. In order to grab their land, robber baron Hedley Lamarr sends his henchmen to make life in the town unbearable. After the sheriff is killed, the town demands a new sheriff from the Governor, so Hedley convinces him to send the town the first black sheriff in the west.",...or never give a saga an even break!
Blue Beetle,2023,"Action, Science Fiction, Adventure","Xolo Maridueña, Bruna Marquezine, Susan Sarandon",,"Recent college grad Jaime Reyes returns home full of aspirations for his future, only to find that home is not quite as he left it. As he searches to find his purpose in the world, fate intervenes when Jaime unexpectedly finds himself in possession of an ancient relic of alien biotechnology: the Scarab.",Jaime Reyes is a superhero whether he likes it or not.
Blue Velvet,1986,"Mystery, Thriller, Crime","Isabella Rossellini, Kyle MacLachlan, Dennis Hopper",,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child.","It's a strange world, isn't it?"
Bohemian Rhapsody,2018,"Music, Drama","Rami Malek, Gwilym Lee, Ben Hardy",,"Singer Freddie Mercury, guitarist Brian May, drummer Roger Taylor and bass guitarist John Deacon take the music world by storm when they form the rock 'n' roll band Queen in 1970. Hit songs become instant classics. When Mercury's increasingly wild lifestyle starts to spiral out of control, Queen soon faces its greatest challenge yet – finding a way to keep the band together amid the success and excess.",Fearless lives forever.
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,Comedy,"Sacha Baron Cohen, Ken Davitian, Luenell",,"Kazakh journalist Borat Sagdiyev travels to America to make a documentary. As he zigzags across the nation, Borat meets real people in real situations with hysterical consequences. His backwards behavior generates strong reactions around him exposing prejudices and hypocrisies in American culture.","Come to Kazakhstan, it's nice!"
Born on the Fourth of July,1989,"Drama, War","Tom Cruise, Raymond J. Barry, Caroline Kava",,"Paralyzed in the Vietnam war, Ron Kovic becomes an anti-war and pro-human rights political activist after feeling betrayed by the country he fought for.",A true story of innocence lost and courage found.
Boyhood,2014,Drama,"Ellar Coltrane, Patricia Arquette, Ethan Hawke",,"The film tells a story of a divorced couple trying to raise their young son. The story follows the boy for twelve years, from first grade at age 6 through 12th grade at age 17-18, and examines his relationship with his parents as he grows.",12 years in the making.
Bram Stoker's Dracula,1992,"Romance, Horror","Gary Oldman, Winona Ryder, Anthony Hopkins",,"Count Dracula, a 15th-century prince, is condemned to live off the blood of the living for eternity. Young lawyer Jonathan Harker is sent to Dracula's castle to finalise a land deal, but when the Count sees a photo of Harker's fiancée, Mina, the spitting image of his dead wife, he imprisons him and sets off for London to track her down.",Love never dies.
Brave,2012,"Adventure, Animation, Family","Kelly Macdonald, Emma Thompson, Billy Connolly",,"In the mystical Scottish Highlands, Merida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Merida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Merida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Merida's quest — and serving as comic relief — are the kingdom's three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall.",Change your fate.
Breaking Away,1979,"Drama, Comedy","Dennis Christopher, Dennis Quaid, Daniel Stern",,"Dave, nineteen, has just graduated high school, with his three friends: the comical Cyril, the warm hearted but short-tempered Moocher, and the athletic, spiteful but good-hearted Mike. Now, Dave enjoys racing bikes and hopes to race the Italians one day, and even takes up the Italian culture, much to his friends' and parents' annoyance.",The movie that tells you exactly what you can do with your high school diploma!
Bridge of Spies,2015,"Thriller, Drama","Tom Hanks, Mark Rylance, Amy Ryan",,"During the Cold War, the Soviet Union captures U.S. pilot Francis Gary Powers after shooting down his U-2 spy plane. Sentenced to 10 years in prison, Powers' only hope is New York lawyer James Donovan, recruited by a CIA operative to negotiate his release. Donovan boards a plane to Berlin, hoping to win the young man's freedom through a prisoner exchange. If all goes well, the Russians would get Rudolf Abel, the convicted spy who Donovan defended in court.","In the shadow of war, one man showed the world what we stood for."
Broadcast News,1987,"Comedy, Romance","Holly Hunter, William Hurt, Albert Brooks",,A high-strung news producer finds herself in a love triangle between a talented but self-doubting reporter and a charming news anchor who embodies the growing trivialization of news that she is determined to fight against.,It’s the story of their lives.
Brokeback Mountain,2005,"Drama, Romance","Heath Ledger, Jake Gyllenhaal, Michelle Williams",,"In 1960s Wyoming, two men develop a strong emotional and sexual relationship that endures as a lifelong connection complicating their lives as they get married and start families of their own.",Love is a force of nature.
Brooklyn,2015,"Romance, Drama, History","Saoirse Ronan, Domhnall Gleeson, Emory Cohen",,"In 1950s Ireland and New York, young Eilis Lacey has to choose between two men and two countries.","Two countries, two loves, one heart"
Bruce Almighty,2003,"Fantasy, Comedy","Jim Carrey, Morgan Freeman, Jennifer Aniston",,"Bruce Nolan toils as a ""human interest"" television reporter in Buffalo, NY, but despite his high ratings and the love of his beautiful girlfriend, Bruce remains unfulfilled. At the end of the worst day in his life, he angrily ridicules God — and the Almighty responds, endowing Bruce with all of His divine powers.","If you could be God for one week, what would you do?"
Bugonia,2025,"Science Fiction, Thriller, Comedy","Emma Stone, Jesse Plemons, Aidan Delbis",,"Two conspiracy obsessed young men kidnap the high-powered CEO of a major company, convinced that she is an alien intent on destroying planet Earth.","Of all the abductions, this one is different."
Bugsy,1991,"Crime, Drama, Mystery","Warren Beatty, Annette Bening, Harvey Keitel",,"New York gangster Ben 'Bugsy' Siegel takes a brief business trip to Los Angeles. A sharp-dressing womanizer with a foul temper, Siegel doesn't hesitate to kill or maim anyone crossing him. In L.A. the life, the movies, and most of all strong-willed Virginia Hill detain him while his family wait back home. Then a trip to a run-down gambling joint at a spot in the desert known as Las Vegas gives him his big idea.",Glamour was the disguise.
Caddyshack,1980,Comedy,"Chevy Chase, Rodney Dangerfield, Ted Knight",,"At an exclusive country club, an ambitious young caddy, Danny Noonan, eagerly pursues a caddy scholarship in hopes of attending college and, in turn, avoiding a job at the lumber yard. In order to succeed, he must first win the favour of the elitist Judge Smails, and then the caddy golf tournament which Smails sponsors.",Some people just don't belong.
Call Me by Your Name,2017,"Romance, Drama","Armie Hammer, Timothée Chalamet, Michael Stuhlbarg",,"In the summer of 1983, a 17-year-old Elio spends his days in his family's villa in Italy. One day Oliver, a graduate student, arrives to assist Elio's father, a professor of Greco-Roman culture. Soon, Elio and Oliver discover a summer that will alter their lives forever.",Is it better to speak or die?
Cape Fear,1962,"Thriller, Drama, Crime","Gregory Peck, Robert Mitchum, Polly Bergen",,"Sam Bowden witnesses a rape committed by Max Cady and testifies against him. When released after 8 years in prison, Cady begins stalking Bowden and his family but is always clever enough not to violate the law.",Now he had only one weapon left—murder!
Capote,2005,"Crime, Drama","Philip Seymour Hoffman, Catherine Keener, Clifton Collins Jr.",,"A biopic of writer Truman Capote and his assignment for The New Yorker to write the non-fiction book ""In Cold Blood"".","In New York City, he was the ultimate insider. But out here, he was on the outside, looking in."
Captain America: Civil War,2016,"Adventure, Action, Science Fiction","Chris Evans, Robert Downey Jr., Scarlett Johansson",,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",United we stand. Divided we fall.
Captain America: The Winter Soldier,2014,"Action, Adventure, Science Fiction","Chris Evans, Samuel L. Jackson, Scarlett Johansson",,"After the cataclysmic events in New York with The Avengers, Steve Rogers, aka Captain America is living quietly in Washington, D.C. and trying to adjust to the modern world. But when a S.H.I.E.L.D. colleague comes under attack, Steve becomes embroiled in a web of intrigue that threatens to put the world at risk. Joining forces with the Black Widow, Captain America struggles to expose the ever-widening conspiracy while fighting off professional assassins sent to silence him at every turn. When the full scope of the villainous plot is revealed, Captain America and the Black Widow enlist the help of a new ally, the Falcon. However, they soon find themselves up against an unexpected and formidable enemy—the Winter Soldier.",In heroes we trust.
Captain Marvel,2019,"Action, Adventure, Science Fiction","Brie Larson, Samuel L. Jackson, Ben Mendelsohn",,"The story follows Carol Danvers as she becomes one of the universe’s most powerful heroes when Earth is caught in the middle of a galactic war between two alien races. Set in the 1990s, Captain Marvel is an all-new adventure from a previously unseen period in the history of the Marvel Cinematic Universe.",Higher. Further. Faster.
